status,aircraft,travel_type,travel_class,route,date,seating_comfort,staff_service,food_quality,entertainment,wifi,ground_service,value_for_money,recommended,overall_rating,review,airline_name,NPS_score
Not Verified ,,Family Leisure,Economy Class,Toronto to Halifax,2024-06-01,3.0,4.0,,,,5.0,4,yes,9,"   We were pleasantly surprised with how helpful the Air Canada customer service desk was. We missed our flight due to a change in gates that we didn’t pay attention to, and with two young kids in tow we were almost in tears. Thankfully, the Air Canada customer rep was able to put us on the next flight, no questions asked. We are so thankful! While it’s true that AC has many delays/cancellations, relatively speaking they are still one of the most reliable airlines around.",air-canada,Promoter
✅ Trip Verified ,A319-100,Business,Economy Class,Toronto to Montreal,2024-06-01,2.0,4.0,,,2.0,2.0,1,no,1,"  3 delays, left 2 hours and 15 mins late. Tried to bump me and a guest back 12 rows for a stand by. This is the 4th flight I have taken with Air Canada this week, the last 3 were in business class. My flight on Monday was cancelled at the last second and the replacement flight got myself and 7 guests into San Francisco 9 hours late. This airline is always late always cancelling flights. Absolutely horrible.",air-canada,Detractor
✅ Trip Verified ,,Couple Leisure,Economy Class,Quebec city to Toronto,2024-06-01,3.0,3.0,,,,1.0,1,no,1,"  Due to flight cancelation (notified via phone 2 hours before boarding), we were placed on the next flight. No other airlines/flights were available. This caused us to miss a connecting flight. Our only way to get home was to reschedule connection flight to the next day ($350), get a hotel room for the night ($250), eat out for three more meals than planned ($$), and extend our car parking at our destination ($50). The only thing we got from them was ""well, we are not partnered with your connection""",air-canada,Detractor
✅ Trip Verified ,B787,Solo Leisure,Business Class,Vancouver to Hong Kong,2024-04-01,3.0,3.0,1.0,1.0,3.0,4.0,1,no,1," I recently paid $5700 for a flight which was business class outbound and only premium economy return YVR-HKG. On the business portion from YVR-HKG the entertainment system and screen malfunctioned including constantly turning on in a dark cabin while most were trying to sleep. I book business class for 3 reasons, comfort of seat, entertainment value, and meal/in-flight service. When one of these 3 services is not provided then I am no longer satisfied with the fees I paid for this class of travel. The Head-purser tried to reset a number of times then 2 flight attendants spent all kinds of time taping 2 cushions to the screen. My return flight in Premium was no better. Although I had paid $5700 for my flight and the passenger next to me $6000 for his round-trip YVR-HKG in Premium both of us were informed early on we wouldn't have a choice of meals as the Vegetarian was the only option left. While I have experienced this same problem a few years back on Air Canada I really can't believe this airline can't put enough meals on board to offer the selection they advertise. Unlike business, there was no option days before to select the meal you want and alleviate this entire issue. They absolutely treat this class (Premium) like standard economy although they now charge a multiplier of 3-3.5 times the standard economy cost. Wake up Air Canada! In the end I was offered $150 credit for my troubles and after going back to them again and again they have refused to show more compassion. With the offer of a $150 coupon they are basically suggesting I would have paid for this business class travel @ a price of $5700 with an offer of ""minus $150"" but no entertainment service. Would anyone book that class of travel if they were told of this full ticket price minus $150 because you will not be providing any entertainment? In addition to the absence of entertainment my comfort was significantly disrupted because of a screen turning on frequently with full brightness in a darkened (resting) cabin. Think about other airlines who care if they can't meet normal expectations when you consider your next Booking!",air-canada,Detractor
Not Verified ,,Family Leisure,Economy Class,London to Delhi,2024-08-01,1.0,3.0,3.0,1.0,1.0,3.0,1,no,2,"  Travelled from LHR to Delhi in August 2024. Flight tickets were costly, even higher than BA or Virgin's ticket price. Two adults and two children were flying. what we got: An old aircraft with no inflight entertainment system, no charging points, seats wont recline and handles broken. only good thing was that there was a decent leg room space. Staff behaviour was as one would expect in the economy class. when i complained, I was told that a new A350 is being procured. but how does that help me in a really expensive flight on that day where the 9 hour flight seemed to take forever to reach delhi. In this age, asking about WIFI availability felt as if I came from the Moon. The quantity of food has been reduced so much now that I have started carrying my own.",air-india,Detractor
✅ Trip Verified ,,Solo Leisure,Economy Class,Calgary to Delhi via Vancouver,2024-08-01,1.0,1.0,1.0,1.0,1.0,1.0,1,no,1," Worst flight. Food was garbage. Totally frustrated, no value for money, deeply regret flying wit them. The reason was because my Air Canada flight to Montreal canceled otherwise I should fly in Qatar Airways. I'm blaming Air Canada first. Never ever go to my destination via Delhi from Canada. I have a dying feeling at the Delhi Airport customer care is -1",air-india,Detractor
✅ Trip Verified ,,Solo Leisure,Economy Class,Sydney to London via Delhi,2024-07-01,1.0,1.0,1.0,,,1.0,1,no,1,"   This is a review and complaint for flight AI 301 departing Sydney to London, via Delhi, on 03 Jul 24. Appalling. None of the TVs worked for the duration of my 24+ hours flight - two flights, two aircraft. This was my second flight with Air India (the return leg of a pre-booked ticket) and the second time this has happened to me (no TVs / no entertainment) so there was no excuse this time round. I flew over 30 hours from Sydney to London, via 12 hours layover in Delhi. This is unacceptable. On top of that, the toilets were disgusting, smelly, unkempt (eg sticky floors) and insecure - the bored flight attendants had a common habit of banging on the doors whilst in use and opening them from the outside, even when they were in use and there was no queue of people waiting to use them. Ambushed on the loo! This humiliating experience happened to me THREE times on one flight. It was embarrassing and unacceptable. Avoid this airline if at all possible.",air-india,Detractor
✅ Trip Verified ,A321-200,Solo Leisure,Economy Class,Chennai to Delhi,2024-07-01,2.0,4.0,4.0,,,1.0,3,no,5,"   On 10th July I boarded Air India flight AI540 from Chennai T4 to Delhi T3 for returning to my college. There was no issue while boarding the flight as both the ground crew as well the cabin crew were very kind and responsive. But the main issue began in the aircraft where my seat 17F, a window seat, had a broken handle and a loose tray table which in my opinion would have come off with a slight increase in force. Apart from this the aircraft had a bad odor which made me uncomfortable. For the rest of the flight, I faced no issue and the food was good along with the cheerful cabin crew, but my bad opinion on Air India further increased when the flight landed in Delhi, it took almost 30-40 mins of waiting in the aircraft just to deplane after the plane came to a complete stop because of improper communication which lead to a lot of unrest among the passengers leading to a chaotic deplaning experience. Finally I say that Air India still has lot of work to do especially in terms of aircraft maintenance and proper coordination with ground services.",air-india,Detractor
✅ Trip Verified ,,Couple Leisure,Economy Class,Leh to Kolkata ,2024-08-01,1.0,1.0,1.0,1.0,1.0,1.0,1,no,1,"   Worst airline available in India, never book with them. They charge handsome amount for select seats and change that in the last minute. No grievance redressal system available. The AI assistant is of no work.",air-india,Detractor
✅ Trip Verified ,,Family Leisure,Economy Class,Kuwait to Srinagar via Mumbai,2024-06-01,2.0,3.0,1.0,,,2.0,1,no,1,   It was the worst experience and feels like the biggest mistake of our lives for booking with Air India. We booked our round trip tickets in January and cancellation was done by Air India in May. After banging our head with their customer executives finally we got one way ticket and partial return ticket upto Delhi only with pending Kuwait ticket. Then the horrendous journey started for the return flight. They kept coming up with excuses for providing return ticket with assurance that we will get on alternate flight on Air India Express which never happened. Everyday we lost 1 to 2 hours on phone with their customer executives for 1 month till 5 days were left for our return. Finally we had to book on another airlines with triple the cost and peanuts as refund from Air India. I EXPLAINED IN DETAIL SO THAT NO ONE ELSE WILL FALL IN THEIR TRAP. Hope it serves the purpose,air-india,Detractor
Not Verified ,Boeing 787-8,Business,Economy Class,Narita to Dubai via Delhi,2024-08-01,1.0,5.0,5.0,1.0,,1.0,1,no,1,"  I was flying from Tokyo Narita  to Dubai via Delhi. The checkin lady made a mistake in entering my information that they were not able to let me board even though I could have missed my flight, my bags were re checked that maybe the Red mark was because of that but nothing from my end. The manager had to come and manually fix the error in the system. The plane landed 1 hour 20 minutes earlier than the scheduled time in Delhi but there was no ground staff so all of us were stuck in the plane for 1 hour 20 minutes without an AC. The tv was not working, remote was broken and so were the buttons. The flight was for 8.5 hours and I cannot sleep on the plane. So it was a horrible experience",air-india,Detractor
✅ Trip Verified ,,Couple Leisure,Economy Class,Hong Kong to Vienna via Delhi,2024-07-01,2.0,2.0,2.0,1.0,1.0,2.0,2,no,1,"   Our bags were delayed by 2+ weeks, leaving us with no belongings for the entire length of our break. Over 10 hours were spent daily on the phone, with €600+ spent on replacement clothes/items. Air India offered only US$100 compensation citing a policy they do not share publicly, despite legal obligations to cover ""reasonable"" costs.",air-india,Detractor
✅ Trip Verified ,,Family Leisure,Economy Class,London to Sydney via Delhi,2024-07-01,4.0,1.0,1.0,1.0,1.0,3.0,1,no,1,"   Pathetic service. Had taken Air India to fly from Australia to Europe return. Pathetic is actually like giving 5 stars. No words to describe. Entertainment unit not working on all 4 flights taken. Reason technical glitch. Poorest customer service. Staff seems least bothered of any request. Can't provide food requested except apologies. No concern for consumers travelling even when there request assistance button not working not just for our seat but for most of economy but staff seems least concerned. Staff making faces which makes you feel you did a terrible mistake by making a request. Poor air conditioning and sweating while take off , response is once we start flying and reach the altitude AC will be switched on. Never again. I wish it is closed or shut down so that people don't feel cheated at 33000ft.",air-india,Detractor
Not Verified ,AI 308,Solo Leisure,Economy Class,Delhi to Melbourne/Gold Coast,2024-07-01,1.0,1.0,1.0,1.0,1.0,1.0,1,no,1,"   Will never fly with Air India again. Itinerary was New Delhi to Gold Coast, stopping in Melbourne for a transfer. I confirmed multiple times that I did not have to pass through customs in Melbourne to reach the Gold Coast and they assured me this was the case. I would only need to collect my luggage on the GC. What went wrong: - they charge premium prices and not even have working entertainment on board that works. I was on a 12hour flight without a working screen (like most people) - super uncomfortable seats - 2 delays - lost my luggage Conclusion: make yourself a favour and not fly with these guys. So unreliable. They charge premium prices and the service is equal or far lower than budget airlines.",air-india,Detractor
✅ Trip Verified ,Boeing 787-9,Family Leisure,Economy Class,Washington to Delhi,2024-07-01,3.0,3.0,2.0,1.0,1.0,4.0,2,no,2,"  If Air India has such lousy in-flight entertainment, usually the entire system doesn't work or, when it does it, offers little in terms of options, then they at least need to have phone/tablet charging outlets on long-haul flights so people can keep their devices charged in order to watch content they downloaded beforehand. It's a no-brainer. Get your act together, Air India.",air-india,Detractor
Not Verified ,,Couple Leisure,Economy Class,Colombo to Copenhagen via New Delhi,2024-07-01,1.0,1.0,1.0,,,1.0,1,no,1,"   The plane was so old and broken, everything was broken old and falling apart. The flight we had was 8 hours long and there was no inflight entertainment - the screens were just black!! The joke was, that no one from their captain to air hostess apologized for this inconvenience and when we asked they said, that they would come back with some magazines - never happened. As a cherry on the top of this horrendous experience, the toilet door got jammed and their supervisor had to break the door in for me to come out. He had the audacity to ask me how I got stuck, and I was able to show him how ridiculously broken the door was. Avoid flying Air India at all cost - you deserve better!",air-india,Detractor
Not Verified ,,Solo Leisure,Economy Class,London to Seoul via Delhi,2024-05-01,1.0,1.0,1.0,1.0,1.0,1.0,1,no,1," I requested to cancel my ticket and had to deal with very irresponsible and bad customer service and lost my money. Though I raised request to cancel my ticket before required time, they made excuses and closed my request without asking me and didn't bother refunding my money",air-india,Detractor
Not Verified ,,Solo Leisure,Economy Class,London to Melbourne via Delhi,2024-07-01,1.0,1.0,1.0,1.0,1.0,1.0,1,no,1,"   The worst flight I have ever been on. I had a 13 hour journey from Delhi to Melbourne. My entertainment screen and my reading light didn’t work, meaning I had to endure 13 hours without any distraction other than the seat in front of me. Around half of the travellers appeared to have the same issue, which resulted in an unpleasant atmosphere on the plane itself. To make matters worse, I submitted an email to Air India ahead of flying regarding a severe allergy I have. At no point did I receive a response and I was later served food with my allergen in. Thankfully I realised and didn’t eat it, but it was crystal clear from the beginning that Air India do not care about the customer experience - despite the fact that I paid four figures for my flights.",air-india,Detractor
✅ Trip Verified ,,Solo Leisure,Premium Economy,Singapore to Delhi,2024-07-01,1.0,,,,,1.0,2,no,2,  It is one of the worst airlines in the industry. 5 hrs flight from Singapore to Delhi is already delayed by more than 2 hours & no proper information to the travellers.,air-india,Detractor
✅ Trip Verified ,Boeing 787 ,Solo Leisure,Economy Class,Mumbai to Melbourne,2024-07-01,1.0,2.0,1.0,1.0,1.0,1.0,1,no,1,  They give you the torture treatment. The flight was delayed by over 3.5 hours. My entire seat was broken. The entertainment system was not working. I could not even use the PA button to seek help from the air hostess. The toilets were beyond disgusting. I could just about use it once. The interior of the plane is stained. There was no non-veg food and the food was worse than prison food. Airline staff at the airport and on the flight were helpless. My flight was over 11.5 hours.  The customer service is non-responsive and only copy-paste responses to meet their internal TAT. They will force you to use the return ticket and not even refund it. ,air-india,Detractor
Not Verified ,,Solo Leisure,Economy Class,Toronto to Delhi,2024-07-01,1.0,1.0,1.0,1.0,1.0,1.0,1,no,1,"   I had a 13 hrs long flight from Toronto Pearson airport to Delhi but, the flight was very unpleasant and uncomfortable. The screen did not work at all and it got stuck up and didn’t move back on its original position. I with other fellow passengers had to sit idle without any entertainment The staff did not help me despite me telling them about it time and again. A co-passenger ended up helping me to re-adjusting it. Moreover, the meal tray was extremely dirty with tea stains and what not. Despite asking for a wet towel to clean it they handed me a dry tissue paper. Once landed, having a connecting flight to Amritsar, I received my luggage at the end and ended up in a neck to neck situation where i almost missed my flight. Moreover, one of the ground staff ended up taking $50 from me to get my baggage clearance at the end. I ended up at the gate on the last boarding call. I was really disappointed from the entire experience and a bit tensed now as i had already booked a round trip flight. I hope i get some refund out of what i paid to book my seat from Air India.",air-india,Detractor
✅ Trip Verified ,Boeing 787,Couple Leisure,Economy Class,Sydney to Copenhagen via New Delhi,2024-07-01,2.0,1.0,2.0,1.0,,2.0,2,no,1,"  SYD-DEL-CPH-DEL-SYD: on each of these 4 legs we had no light, no call button, no entertainment and no apology. Leaving Sydney, we waited on the ground for 2 hours as people in hi-viz kept walking on and off the plane wearing worried expressions. The announcement from the flight deck was garbled but we understood the words 'technical issues'. By the time we arrived in New Delhi it was so late there was no slot for landing so we ended up in the cargo area and had to take a bus to the terminal. When we got on the plane in Delhi to return to Sydney we waited 10 minutes after scheduled take-off to receive the first piece of information from the flight deck: 'technical issues ... safety' and we were deplaned. 90 minutes in Delhi airport until a new plane could be organised. Then full security check again. We were compensated with warm water or juice box. But better to be deplaned on the ground than in the air. And, once again, no light, no call button, no entertainment and no apology. Generally the staff were good on the four legs - though conspicuously absent during the shambles of deplaning. Food too was OK, but difficult to muck up a veg curry. Needless to say, we will never fly Air India again. ",air-india,Detractor
Not Verified ,,Couple Leisure,Economy Class,Mumbai to Sydney via Delhi,2024-07-01,1.0,1.0,1.0,1.0,1.0,1.0,1,no,1," By far the worst travel experience I’ve ever had. Hopeless airline, staff are beyond useless and unhelpful. Really incompetent and just pushing responsibility to solve issues on each other without helping any customers. Still in transit, now stuck in Colombo on a different airline, been travelling for 21 hours so far, with a 10 hour flight to Sydney to come. (Delayed again with another airline) Dont waste your time, pay for a better airline",air-india,Detractor
✅ Trip Verified ,,Solo Leisure,Economy Class,Kathmandu to New York via Delhi ,2024-07-01,1.0,3.0,1.0,1.0,1.0,1.0,1,no,1,"  I had a horrible experience with Air India. I was flying from Kathmandu to the USA, and at the Delhi airport, they charged me for the weight of my duty-free purchases, which was 3 kg. They charged $137 to my credit card. The Air India employees at the Delhi airport provided terrible service.",air-india,Detractor
Not Verified ,,Family Leisure,Economy Class,Delhi to Melbourne,2024-04-01,1.0,1.0,,1.0,1.0,1.0,1,no,1," My parents recently flew with Air India and experienced horrible service like seats worn out, legroom was good, inflight entertainment was awful, no wifi, crew were all new and did not know what to do. No value for money, ground staff were horrible. Worst experience ever!",air-india,Detractor
✅ Trip Verified ,A320neo,Solo Leisure,Business Class,Leh to New Delhi,2024-06-01,3.0,4.0,4.0,,,3.0,3,yes,5," We've all read the Air India horror stories, but I think this was a perfectly serviceable flight. At the time of flying, Air India had not yet extended the cabin refresh to the aircraft type I flew, but the plane overall was clean and there were no maintenance issues onboard. Food was great as always. Communication could have been improved, especially since foreign mobile phones are blocked in Ladakh and there is no public WiFi in Kushok Bakula Rimpoche Airport, we were unable to receive delay alerts directly from Air India and had to rely on the screens and announcements which were updated at a pretty leisurely pace. The company is still not consistently enforcing an orderly boarding process, but aside from those two things the vast majority of the issues I had were not the airline's fault. I'm excited to see how the rebranding looks when it reaches the shorter-haul and domestic planes.",air-india,Detractor
✅ Trip Verified ,,Solo Leisure,Economy Class,Lucknow to Delhi,2024-06-01,1.0,1.0,1.0,1.0,1.0,1.0,1,no,1,"  I was traveling from Lucknow to Delhi (Air India), Delhi to Seoul (Air India) and from Seoul to Toronto (Delta airlines). I missed my international flight to Toronto due to delay of Air India. After asking to provide me with a flight the Air India staff rudely told me it's not the airlines fault. Who's fault is this then that I missed my International flight that I paid around 3K CAD for? Not only that I had to book a new flight again that costed me around 3K CAD and because it was last minute booking the airline couldn't offer me vegetarian meal. After emailing and complaining about all this, all I get is a one line apology from Air India. Not acceptable. The Air India staff at Delhi Airport office are extremely rude, disrespectful and unprofessional.  Very unhappy with the service.",air-india,Detractor
✅ Trip Verified ,Boeing 787-8,Business,Business Class,Melbourne to New Delhi,2024-03-01,1.0,3.0,3.0,1.0,1.0,2.0,1,no,1,"  I am writing to express my deep disappointment with Air India's handling of our refund for two Business Class tickets that turned into a nightmare on Flight AI 309 from Melbourne to New Delhi on March 23, 2024. The Business Class seats were unable to recline, causing significant discomfort during the flight.  The entertainment systems in our seats were non-functional, depriving us of any in-flight entertainment. These problems caused immense frustration and disappointment. I have attached photos of the broken entertainment unit, the screen didn't function manually as well.",air-india,Detractor
Not Verified ,Boeing 787,Family Leisure,Economy Class,Mumbai to Melbourne,2024-06-01,4.0,5.0,5.0,3.0,,5.0,4,yes,9, Great staff service and quality food. The check in process was smooth and staff was polite and helpful. It is surely trying to reach high standards as set by many different Airlines.,air-india,Promoter
✅ Trip Verified ,,Solo Leisure,Economy Class,Delhi to Bangalore,2024-06-01,3.0,5.0,4.0,4.0,,1.0,1,no,2,"  The boarding experience was tiring and cumbersome. Terminal 3 of Delhi airport is huge and each unit is situated in various ends of the terminal. Not sure if it is the system they use or staff having difficulty to use their system, the process of check in baggage is very very slow. I was stuck with a very stern officer who took considerable time checking each and every boarding pass more than the usual time and when I had to go to the cashier she refused to accept and sent me to another end of the terminal for payment. Running about with hand luggage was not fun. The cabin crew were polite and the inflight experience was fine.",air-india,Detractor
Not Verified ,Boeing 777-300,Solo Leisure,Economy Class,Delhi to Toronto,2024-06-01,1.0,1.0,1.0,1.0,1.0,1.0,1,no,1,"   I had connecting flight from Delhi to London and then London to Delhi. Added an extra checked baggage at the airport and Air India already had told us the fees for $100 cad for the extra bag. However, when I arrived at Delhi Airport, the airport staff told me that the fees is Rs. 22000 meaning $380 cad. I called the airline and they just apologized. I ended up paying more than stated due to lack of information provided by the airline. I have had the worst experience with Air India. When landed initially, they misplaced my checked baggage which I received after 20 days of my arrival in India and then at the time of departure, they lied to us relating to the baggage fees. This is not done. This airline should have honesty and good customer service if they want to survive. Totally messed up airline, never going to travel with them again. Minus zero rating from my side.",air-india,Detractor
✅ Trip Verified ,Boeing 777-200LR,Solo Leisure,Economy Class,Delhi to San Francisco,2024-05-01,2.0,4.0,4.0,1.0,1.0,4.0,3,no,4,"  I boarded DEL-SFO flight at 4am on May 26, 2024. My Seat is 30A. Entertainment System that tucked into the armrest is stuck within the armrest in spite of flight crew trying to get it out of the armrest. The entertainment system in all nearby seats did not work either. Imagine sitting on a 16 hours flight without an entertainment system. The bathrooms are dirty for most of the flight.",air-india,Detractor
✅ Trip Verified ,,Solo Leisure,Economy Class,Mumbai to New York,2024-05-01,3.0,4.0,3.0,1.0,1.0,1.0,1,no,1,"  Horrible experience during check in at Mumbai Airport on May 03, 2024 for flight AI 119 to New York. Air India crew members are lack of knowledge to process boarding passes for seafarers. Another horrible thing that the manager was confused about required documents, not cooperative at all and was demanding unnecessary documentation like DG shipping B1 visa (such a document does not exist). I was denied to get boarding pass and it took almost 1 hour to convince him that B1/B2 are USA tourists visas and seafarers joining ships required only C1/D visa. Please note as a seafarer I’m flying for almost 20 years and never had such a complication and harassment at check in counter. Kindly arrange training sessions for your crew. Emigration officer was very satisfied with my provided documentation and never asked something horrible like Air India Staff. ",air-india,Detractor
Not Verified ,,Solo Leisure,Economy Class,London to Chennai via Mumbai,2024-05-01,1.0,2.0,2.0,1.0,1.0,1.0,1,no,2,"   Pathetic service, never expected this from Air India. International flight from London to Mumbai got delayed, missed my Connecting flight from Mumbai to Chennai. surprise to know that baggages are self transfer no where highlighted in ticket or boarding pass. No proper coordination or guidance, made me to go up and down, no proper directions or information. Pathetic service to international passengers, never experienced this with any other airlines while traveling from London to Chennai. Travel duration from London to Chennai is 13 hours, because of this awful service extended to 19 hours, no compensation or not even lounge is provided to take rest, people with kids and elderly people struggling like anything. Irresponsible management. Never will travel with you again, and will not recommend to any of my acquaintance for international or domestic travel. ",air-india,Detractor
✅ Trip Verified ,A320,Solo Leisure,Economy Class,Mumbai to Mangalore,2024-05-01,4.0,5.0,3.0,,,5.0,3,yes,8,"  A short, on-time and comfortable flight with Air India, the cabin crew were pleasant and helpful, the aircraft was dated but without any major issues. The toilets were kept clean in the journey. However, the snack service was not up to par with a tasteless sandwich served as breakfast with a similarly tasteless cupcake. This is one area in which the pre-takeover Air India did a good job, but catering has been a let-down on the admittedly few flights I have taken with Air India post take-over.",air-india,Promoter
✅ Trip Verified ,B787 / A350,Couple Leisure,Business Class,Dubai to Sydney via New Delhi,2024-05-01,1.0,4.0,1.0,1.0,,1.0,1,no,1, Every service needs deep review. Seats not reclining even in long haul flights (12 hr flight). Food served in business class do not have items mentioned in flight menu including basic snacks. Food served in business class with cutlery wrapped in plastic bags. Cloth napkin replaced by one single tissue paper. Quality & quantity of food served can not compared even with a road side dabha in India. Toilets lack basic minimum sanitization. Curtains on the asle appear as if they were never cleaned. Inflight entertainment can't be even spoken about. Feel sorry for the on-board crew what they have to go through every day. Sorry state of affairs. Never ever Air India for me.,air-india,Detractor
✅ Trip Verified ,,Couple Leisure,Economy Class,Kolkata to Bangalore,2024-01-01,1.0,1.0,,,,1.0,1,no,1," They started charging for carrying a laptop bag with laptop in it which is not the norms, airlines around the world allows you to carry laptop without any problem.",air-india,Detractor
✅ Trip Verified ,,Family Leisure,Economy Class,Paris to Delhi,2024-04-01,2.0,,,,,1.0,1,no,1,"  The worst company ever. During the check-in the visa was confused with a visa issue. The issue could be managed. A the end we lost 1000 USD, 2 flights. The customer care make a fake story to avoid refund. ",air-india,Detractor
✅ Trip Verified ,,Family Leisure,Economy Class,Washington to Kathmandu,2024-04-01,1.0,3.0,1.0,,,1.0,1,no,1," Customer Service is the worst. Screen in 14hrs flight was not working, I was told 95% of screen were out. So this is an on going issue. Seats look dirty, very dirty, bought couple of seats ($20 and $50) because Air India website was showing bigger leg space- that was a lie. There wasn't. They gave all of us a Lunch voucher because flight was delayed by 5/6 hours (fuel issue) but the voucher was not accepted by a restaurant inside airport so I paid out of my pocket. They said they'll refund the amount but never heard back from them after I send them my information. Made us travel by bus for 5 hours and lost my luggage in the process. I am even getting angry recalling and trying to put this review together, thats how bad my experience was with Air India. So I would suggest don't fly them even if the tickets are for free.",air-india,Detractor
Not Verified ,,Business,Business Class,Toronto to Delhi ,2024-05-01,1.0,1.0,1.0,2.0,2.0,1.0,1,no,1,"   Toronto-Delhi on May 3 2024, Business class. Worst experience ever from the flag carrier airline of India. Business class looks like Premium economy of other airlines. Foot rest was stuck. Separation between 2 adjacent seats was for namesake, never able to put it properly. Once boarded, we were served a vegetarian roll. Said they are having catering issues and only boxed items are available. No notification regarding same was given to us until boarded the flight. Later came food in boxes with Vistara label (a sandwich, Haldiram packet, chocolate, granola bar). Vistara label is indicative that the airline was aware of the issue earlier. Why passengers were not notified either by email/SMS. No beverages were served. Had to ask for a coffee. Also had to ask the hostess to have the cup removed after 45 min. Lacking basic standards of customer service. Towards the end of trip, head of crew came to apologize for the catering issue. Return trip on 5/12 was in Economy class. No blankets were provided at seat. Audio-Visual system never worked. Should say there was food. Agents at gate were literally looting travellers by weighing cabin and personal baggage and charging for items bought from Duty paid stop. They had the most arrogant answers for questions or complaints Anyone travelling is doing it as it may be an emergency trip and cannot find tickets else were. Given a chance please avoid Air India.",air-india,Detractor
Not Verified ,,Business,Business Class,Toronto to Delhi,2024-05-01,1.0,1.0,1.0,1.0,1.0,1.0,1,no,1,"   Booked in business and such a pathetic service and attitude of the crew. They didn’t have food in business as they had issues with catering and they knew it before they left India. All the business class passengers were handed out a box lunch, which had Vistara label. The Vistara label on the box indicate that they had prior knowledge about the catering issue and contained a soggy veg sandwich a chocolate and cookie for a 15 hr non-stop flight. The crew’s attitude was even embarrassing and no one even bothered to take the coffee cup back and it was done after a request was made and it took them 90 minutes to take the cup. Not sure what the airline is up to and is a shame for star alliance in general. Will never fly again.",air-india,Detractor
✅ Trip Verified ,,Solo Leisure,Economy Class,Melbourne to Hyderabad via Delhi,2024-05-01,1.0,3.0,1.0,1.0,1.0,1.0,2,no,1,"  My recent experience with Air India on a long-haul flight from Melbourne to Hyderabad was nothing short of a nightmare. From start to finish, the journey was marred by a series of disappointments and discomforts that left me deeply dissatisfied.  The food served was not only of poor quality, but it was also presented in a manner that suggested utter disregard for basic hygiene standards. Packages were not just messy inside but also had spills all over the exterior, making the already unappetizing meals even less appealing. To add insult to injury, the taste was abysmal, and the quality of desserts was subpar, failing to meet even the most basic expectations. Moving on to the condition of the aircraft itself, the state of the toilets was deplorable. Broken toilet doors and malfunctioning facilities resulted in a pervasive stench that permeated the seating area, creating an incredibly unpleasant atmosphere for passengers. It's unacceptable to subject paying customers to such unsanitary conditions. Furthermore, the lack of inflight entertainment for a significant portion of the seats is simply inexcusable in this day and age. With technology readily available, there's no reason why passengers should be deprived of this basic amenity, especially during a lengthy 20-hour flight. Speaking of discomfort, the seating arrangements were far from satisfactory. Uncomfortable seats made the already arduous journey even more taxing, leaving passengers feeling physically strained and restless. And if the in-flight experience wasn't bad enough, the ordeal continued upon arrival at Delhi airport. The mishandling of baggage collection, with staff carelessly pulling out bags from the belt and haphazardly placing them outside, created chaos and confusion among passengers trying to locate their belongings. In conclusion, my experience with Air India was nothing short of a disaster from start to finish. The combination of poor food quality, unsanitary conditions, lack of entertainment, uncomfortable seating, and chaotic baggage handling has left me with a strong resolve never to fly with them again. It's truly disappointing to see such a renowned airline fall so far below acceptable standards, and I urge prospective passengers to think twice before considering Air India for their travels.",air-india,Detractor
Not Verified ,Boeing 777,Business,Economy Class,Mumbai to New York via Delhi,2024-05-01,1.0,2.0,3.0,1.0,1.0,1.0,1,no,1,"   This is the worst experience I’ve had flying internationally. On the first leg, the recline was broken. On the second leg, the in-flight entertainment remote was taped to the armrest because it too was broken. There is one little USB to try and charge gadgets not robust enough for my laptop. Oh, and the recline didn’t work either. For fifteen hours. Regardless, the economy seat backs are about 2 inches of hard plastic coated in musty fabric. Zero padding to be found. For fifteen hours. The extra 1” of legroom when compared to US carries doesn’t add much to the experience I’ve got to say. This is the most run-down disgusting cabin and up there with one of the more miserable flying experiences I’ve had. Find another airline. It will be worth it.",air-india,Detractor
Not Verified ,,Couple Leisure,Economy Class,San Francisco to New Delhi,2024-04-01,3.0,2.0,2.0,1.0,1.0,3.0,1,no,1,   Non-stop flight to DEL from SFO 15hrs 45 minutes had 3 toilets out of order. In-flight entertainment was broken in 75% or more of the seats. Individual reading lights were also not working. Seat-back trays on which you place food was cracking. My theory is that Indian crew possibly prefers janitors back in India to clean toilets and so possibly locks them as out of order if clogged or dirty. ,air-india,Detractor
Not Verified ,,Family Leisure,Premium Economy,New York JFK to Mumbai,2024-05-01,3.0,3.0,3.0,2.0,,1.0,3,no,2," We have booked for Premium Economy class. When we were doing online checkin 48 hrs before the flight, we could not get a reserved seat in Premium Economy. We thought that it may be a system error but when went to the airport counter, Air India personnel said that the flight did not have Premium Economy. Also the attendant was very rude. Even if they knew it a couple of days before, they did not intimated it to us. We are still waiting for the reimbursement of this change from Air India. This is not the customer service we expect.",air-india,Detractor
✅ Trip Verified ,,Business,Business Class,Delhi to London ,2024-04-01,3.0,4.0,4.0,3.0,3.0,1.0,1,no,2,"  I had a terrible customer service experience with the ground staff. They were very rude and uncooperative, lacking basic manners. It seemed like they didn’t care when I asked for the complaints procedure and policy, as no one was aware of it. After insisting, they provided a complaint book with no explanation of the procedure.",air-india,Detractor
